datetime,unix_timestamp,region,lat,lon,temp_c,humidity_pct,wind_speed_ms,wind_dir_deg,solar_rad_wm2,rain_last_24h_mm,vpd_kpa,co_ppm,co2_ppm,tvoc_ppb,h2_idx,ethanol_idx,hydrocarbon_idx,ignite_next_5min,risk_score_noisy
2024-06-01 00:50:00,1717188600,Lerik,38.81675,48.37145,13.24,38.9,1.79,252.3,0.0,9.51,1.67,0.307,350.0,231.2,22.14,5.91,0.93,0,-6.56
2024-06-01 00:55:00,1717188900,Lerik,38.82824,48.33642,27.07,80.0,2.46,149.3,0.0,4.13,1.26,0.036,409.6,26.0,10.57,3.01,3.3,0,-3.225
2024-06-01 01:00:00,1717189200,Lerik,38.7894,48.40657,24.94,59.7,0.59,277.2,0.0,0.89,1.6,0.485,401.0,5.0,16.05,5.37,2.64,0,-0.81
2024-06-01 01:05:00,1717189500,Lerik,38.82711,48.40146,26.69,75.4,3.77,167.1,0.0,4.63,1.34,0.677,441.3,15.8,5.44,5.38,6.3,0,-2.751
2024-06-01 01:10:00,1717189800,Guba,40.98311,48.8754,23.89,28.6,3.06,331.4,0.0,0.76,2.19,0.351,356.8,104.4,8.78,21.79,9.53,1,1.434
2024-06-01 01:15:00,1717190100,Shamakhi,40.60011,48.59194,23.43,28.2,6.09,256.3,0.0,0.6,2.19,0.54,350.0,15.4,12.1,2.36,15.41,1,1.863
2024-06-01 01:20:00,1717190400,Guba,40.98627,48.94881,22.67,47.9,3.2,352.4,0.0,0.62,1.77,0.03,411.4,5.0,9.21,6.61,6.98,0,-2.748
2024-06-01 01:25:00,1717190700,Guba,40.97714,48.93354,32.24,54.9,8.36,122.1,0.0,1.73,1.92,0.403,492.5,80.4,6.61,16.58,1.18,1,1.039
2024-06-01 01:30:00,1717191000,Guba,40.96554,48.92921,24.19,16.7,3.91,298.4,0.0,0.0,2.44,0.03,541.8,17.6,9.38,10.64,10.14,1,2.3
2024-06-01 01:35:00,1717191300,Lerik,38.82338,48.34082,22.23,27.1,0.98,101.4,0.0,0.06,2.17,0.248,394.7,6.9,4.02,19.91,11.73,0,-0.112
2024-06-01 01:40:00,1717191600,Gabala,41.04553,47.99433,17.48,30.1,4.16,122.1,0.0,2.82,1.97,0.387,389.6,71.0,8.64,34.64,2.75,1,1.517
2024-06-01 01:45:00,1717191900,Shamakhi,40.65856,48.65256,24.78,40.2,5.15,87.2,0.0,0.09,1.99,0.086,350.0,5.2,1.07,1.09,3.7,1,2.314
2024-06-01 01:50:00,1717192200,Gabala,40.91717,47.87585,32.44,29.9,1.75,301.5,0.0,2.91,2.43,0.194,444.3,6.4,7.41,5.66,1.89,1,0.984
2024-06-01 01:55:00,1717192500,Guba,41.06446,48.84178,24.96,43.1,4.4,324.1,0.0,0.68,1.94,0.164,379.1,134.7,8.69,9.74,6.83,0,0.588
2024-06-01 02:00:00,1717192800,Guba,40.98409,48.94739,29.96,45.8,6.09,70.8,0.0,3.1,2.03,0.456,382.7,110.5,9.38,2.24,1.99,1,0.763
2024-06-01 02:05:00,1717193100,Gabala,41.01004,47.82494,24.99,27.6,2.52,311.5,0.0,2.07,2.25,0.238,404.9,33.8,5.47,0.92,3.07,0,-1.848
2024-06-01 02:10:00,1717193400,Gabala,40.93469,47.84029,22.13,62.0,1.09,347.3,0.0,3.11,1.47,0.238,480.4,24.7,4.42,9.14,1.88,0,-3.065
2024-06-01 02:15:00,1717193700,Gabala,40.9871,47.76596,26.96,28.1,3.41,191.3,0.0,1.29,2.3,0.413,433.5,53.9,8.67,7.81,0.71,1,1.607
2024-06-01 02:20:00,1717194000,Guba,41.01569,48.83793,23.71,14.0,2.72,87.3,0.0,3.7,2.48,0.458,458.0,22.1,9.44,17.24,5.34,0,-1.332
2024-06-01 02:25:00,1717194300,Guba,40.92577,48.92193,22.67,30.3,4.66,335.3,0.0,0.7,2.12,0.1,520.9,59.9,10.45,2.07,3.45,0,0.481
2024-06-01 02:30:00,1717194600,Shamakhi,40.63041,48.65031,28.77,19.5,7.53,332.6,0.0,0.5,2.52,0.702,375.7,63.4,9.56,47.38,23.62,1,3.903
2024-06-01 02:35:00,1717194900,Shamakhi,40.6673,48.63425,31.46,34.6,2.72,47.4,0.0,0.03,2.3,0.556,463.3,196.9,7.34,8.18,7.71,1,0.954
2024-06-01 02:40:00,1717195200,Guba,40.99127,48.93254,24.03,48.4,0.31,345.1,0.0,0.45,1.8,0.641,395.5,94.1,5.8,12.45,24.57,1,1.466
2024-06-01 02:45:00,1717195500,Gabala,41.04801,47.84676,24.27,48.8,7.59,109.2,0.0,0.85,1.8,0.25,357.9,21.4,17.56,20.5,3.38,0,0.482
2024-06-01 02:50:00,1717195800,Gabala,40.97052,47.82966,35.22,68.2,3.27,159.2,0.0,3.57,1.74,0.433,425.6,27.7,19.14,9.23,1.37,0,-0.398
2024-06-01 02:55:00,1717196100,Shamakhi,40.64248,48.61444,33.83,32.4,2.51,199.3,0.0,0.21,2.42,0.328,493.5,51.8,10.46,4.02,13.14,1,3.213
2024-06-01 03:00:00,1717196400,Guba,40.88907,48.94107,26.63,57.7,2.0,119.0,0.0,1.49,1.7,0.6,459.6,86.3,12.16,4.92,4.17,0,0.657
2024-06-01 03:05:00,1717196700,Shamakhi,40.72094,48.60024,31.73,25.3,4.05,23.3,0.0,0.48,2.5,0.06,370.2,211.8,18.34,3.78,11.63,1,2.982
2024-06-01 03:10:00,1717197000,Shamakhi,40.67477,48.66051,34.66,36.3,5.6,258.2,0.0,1.34,2.36,0.684,353.1,8.6,4.92,8.13,9.0,1,1.991
2024-06-01 03:15:00,1717197300,Lerik,38.78577,48.38925,26.13,49.8,2.83,277.2,0.0,23.05,1.84,0.399,431.6,113.6,2.74,3.24,1.35,0,-15.758
2024-06-01 03:20:00,1717197600,Lerik,38.7014,48.35099,19.86,52.8,3.4,191.2,0.0,4.97,1.59,0.313,412.3,25.7,4.2,1.55,4.39,0,-3.499
2024-06-01 03:25:00,1717197900,Lerik,38.8144,48.39948,17.87,57.5,0.63,154.9,0.0,0.72,1.44,0.177,350.0,29.2,25.97,3.49,7.68,0,-3.17
2024-06-01 03:30:00,1717198200,Gabala,40.9078,47.8553,18.9,54.8,5.97,261.8,0.0,5.46,1.52,0.464,465.8,167.1,10.4,16.89,2.1,0,-2.719
2024-06-01 03:35:00,1717198500,Guba,41.02224,48.8959,33.17,44.2,4.77,358.0,0.0,0.82,2.16,0.36,382.5,11.7,8.1,0.55,3.36,1,0.989
2024-06-01 03:40:00,1717198800,Guba,41.02058,48.96403,24.22,44.2,5.79,335.6,0.0,2.07,1.89,0.405,389.2,21.8,19.75,9.23,1.1,0,-1.91
2024-06-01 03:45:00,1717199100,Guba,40.95293,48.94027,28.37,49.7,3.53,202.6,0.0,5.58,1.91,0.522,491.4,20.2,23.76,5.24,3.99,0,-1.591
2024-06-01 03:50:00,1717199400,Guba,41.05605,48.82845,26.81,58.2,4.49,294.3,0.0,3.78,1.69,0.376,422.9,8.0,4.79,0.1,1.11,0,-4.221
2024-06-01 03:55:00,1717199700,Lerik,38.84028,48.47672,27.65,33.9,4.77,79.3,0.0,1.8,2.2,0.562,475.8,7.0,0.55,0.67,11.85,0,0.29
2024-06-01 04:00:00,1717200000,Gabala,41.02879,47.71293,27.74,43.7,1.3,134.2,0.0,0.26,2.01,0.03,442.9,164.3,8.78,4.25,4.39,1,0.937
2024-06-01 04:05:00,1717200300,Gabala,40.98044,47.95755,22.69,20.0,3.88,345.9,0.0,1.35,2.33,0.518,502.9,8.1,5.01,3.14,2.38,1,0.798
2024-06-01 04:10:00,1717200600,Lerik,38.72922,48.38563,19.85,74.6,3.07,200.0,0.0,3.01,1.15,0.078,350.0,279.0,10.13,8.86,11.07,0,-1.451
2024-06-01 04:15:00,1717200900,Gabala,41.02889,47.84052,26.6,45.1,5.72,194.1,0.0,0.54,1.95,0.305,481.9,12.1,24.64,6.56,0.52,0,0.189
2024-06-01 04:20:00,1717201200,Lerik,38.78648,48.397,17.66,73.4,0.72,86.8,0.0,0.39,1.11,0.03,471.7,139.8,10.9,16.18,9.2,0,-2.667
2024-06-01 04:25:00,1717201500,Guba,40.93051,48.91926,22.58,20.0,2.3,177.4,0.0,6.56,2.33,0.299,423.1,19.4,4.02,1.82,1.43,0,-3.632
2024-06-01 04:30:00,1717201800,Lerik,38.8676,48.39999,19.2,52.5,4.38,60.4,0.0,5.0,1.58,0.471,409.9,18.1,0.5,2.86,0.71,0,-2.245
2024-06-01 04:35:00,1717202100,Guba,41.10497,48.89333,24.69,58.1,3.55,263.8,0.0,1.7,1.63,0.144,420.0,73.1,6.02,7.06,2.85,0,-2.326
2024-06-01 04:40:00,1717202400,Guba,40.99794,48.96545,24.02,66.1,2.2,314.2,0.0,1.67,1.45,0.606,350.0,66.6,9.04,20.67,2.19,0,-1.352
2024-06-01 04:45:00,1717202700,Shamakhi,40.70796,48.62828,32.48,37.3,4.01,278.5,0.0,2.11,2.28,0.03,516.0,49.7,0.5,8.52,9.44,0,0.408
2024-06-01 04:50:00,1717203000,Lerik,38.80457,48.35206,27.42,48.6,0.77,44.6,0.0,4.14,1.9,0.161,405.5,66.5,2.79,7.13,0.85,0,-2.207
2024-06-01 04:55:00,1717203300,Shamakhi,40.58098,48.63703,31.03,28.0,4.94,202.2,0.0,0.29,2.42,0.03,447.3,94.5,0.5,2.22,2.34,1,1.624
2024-06-01 05:00:00,1717203600,Lerik,38.76848,48.42621,17.99,39.4,3.76,131.8,0.0,1.13,1.8,0.26,513.1,55.4,15.15,0.75,3.35,0,-1.092
2024-06-01 05:05:00,1717203900,Lerik,38.88185,48.37274,15.81,76.9,2.53,116.9,0.0,3.11,0.99,0.03,392.1,165.1,10.68,0.15,8.2,0,-5.717
2024-06-01 05:10:00,1717204200,Shamakhi,40.56099,48.63961,32.65,41.8,1.92,286.8,0.0,2.11,2.19,0.101,414.2,147.2,17.34,9.16,1.05,1,1.628
2024-06-01 05:15:00,1717204500,Shamakhi,40.63676,48.59212,29.34,29.3,7.54,172.8,0.0,0.08,2.34,0.647,432.5,59.0,0.5,7.85,6.56,1,1.421
2024-06-01 05:20:00,1717204800,Lerik,38.77204,48.38892,23.37,63.2,0.59,305.3,0.0,3.7,1.49,0.03,472.8,28.8,11.55,3.33,4.14,0,-3.758
2024-06-01 05:25:00,1717205100,Gabala,40.95698,47.83755,29.32,38.3,1.34,146.0,0.0,0.03,2.16,0.064,405.0,23.1,9.92,7.36,4.26,0,-0.321
2024-06-01 05:30:00,1717205400,Guba,41.05151,48.77859,31.77,40.5,4.08,196.0,0.0,0.65,2.19,0.03,350.0,24.2,0.5,4.43,4.35,0,-0.083
2024-06-01 05:35:00,1717205700,Shamakhi,40.581,48.57367,25.01,20.7,5.79,115.3,0.0,4.59,2.39,0.467,350.0,215.6,6.93,5.54,2.25,0,0.447
2024-06-01 05:40:00,1717206000,Guba,40.97976,48.93566,21.95,33.9,4.07,143.7,0.0,1.11,2.03,0.438,412.9,11.5,10.36,1.9,21.8,1,1.487
2024-06-01 05:45:00,1717206300,Gabala,41.03664,47.84888,27.66,45.7,0.24,246.7,0.0,1.42,1.97,0.03,350.0,215.2,3.12,0.38,5.58,0,-0.484
2024-06-01 05:50:00,1717206600,Gabala,41.05987,47.78574,23.44,55.7,3.24,102.0,0.0,2.83,1.64,0.394,350.0,25.5,0.5,3.38,0.76,0,-1.975
2024-06-01 05:55:00,1717206900,Gabala,41.01223,47.89823,22.04,35.0,2.84,359.1,0.0,1.84,2.01,0.455,454.1,5.0,16.49,14.1,1.86,0,0.677
2024-06-01 06:00:00,1717207200,Shamakhi,40.56726,48.58507,37.24,20.1,4.77,293.7,0.0,0.54,2.77,0.354,477.1,66.9,1.23,3.48,3.92,1,2.9
2024-06-01 06:05:00,1717207500,Gabala,40.95447,47.78892,23.81,54.3,4.16,43.4,21.8,1.87,1.68,0.03,424.0,28.1,23.68,14.83,6.5,0,-1.346
2024-06-01 06:10:00,1717207800,Shamakhi,40.604,48.7103,26.76,33.2,3.45,82.9,43.6,1.18,2.19,0.074,448.7,48.8,4.3,1.81,7.86,0,-0.361
2024-06-01 06:15:00,1717208100,Gabala,40.99605,47.79734,23.41,6.5,0.73,242.1,65.4,0.29,2.62,0.273,390.6,44.1,20.61,0.1,0.18,1,2.568
2024-06-01 06:20:00,1717208400,Guba,40.95061,48.94397,30.34,34.4,5.23,62.8,87.2,2.66,2.27,0.107,461.6,10.0,11.34,4.22,14.66,1,1.703
2024-06-01 06:25:00,1717208700,Guba,41.03615,48.86153,23.22,52.0,0.1,2.3,108.9,1.82,1.71,0.03,350.0,14.9,17.47,0.46,1.56,0,-1.999
2024-06-01 06:30:00,1717209000,Lerik,38.80428,48.40679,18.46,43.2,2.57,233.6,130.5,0.2,1.74,0.488,514.3,104.2,24.12,17.8,3.79,1,0.911
2024-06-01 06:35:00,1717209300,Guba,40.91421,48.85489,22.64,45.8,1.58,84.2,152.1,0.3,1.81,0.308,374.1,20.9,6.28,13.81,8.69,1,1.74
2024-06-01 06:40:00,1717209600,Lerik,38.75355,48.33803,23.81,36.3,4.8,63.2,173.6,0.42,2.04,0.521,375.1,30.3,17.81,1.09,2.09,0,-0.071
2024-06-01 06:45:00,1717209900,Guba,40.97479,48.92611,29.57,38.8,1.09,244.0,195.1,0.14,2.16,0.601,353.9,61.4,4.94,1.25,1.25,0,-0.519
2024-06-01 06:50:00,1717210200,Shamakhi,40.59636,48.62026,35.23,15.7,2.13,146.9,216.4,0.35,2.79,0.145,371.8,18.2,18.78,3.19,0.52,1,2.462
2024-06-01 06:55:00,1717210500,Guba,41.09446,48.95723,22.89,26.5,8.66,339.1,237.7,1.66,2.21,0.03,368.1,33.1,10.98,6.73,1.57,1,0.991
2024-06-01 07:00:00,1717210800,Lerik,38.81191,48.39828,21.88,43.6,4.53,95.9,258.8,0.39,1.83,0.379,350.0,5.0,15.43,0.3,10.38,0,0.605
2024-06-01 07:05:00,1717211100,Lerik,38.75796,48.51102,32.41,68.1,0.39,88.6,279.8,0.74,1.66,0.047,405.9,122.9,15.12,0.56,5.13,0,0.249
2024-06-01 07:10:00,1717211400,Gabala,40.99103,47.86342,31.98,46.3,0.53,203.1,300.7,5.33,2.08,0.306,402.5,8.5,12.08,5.03,0.24,0,-2.851
2024-06-01 07:15:00,1717211700,Shamakhi,40.5824,48.62834,30.99,62.8,3.15,177.6,321.4,1.47,1.72,0.398,390.0,75.0,16.07,1.43,4.45,0,-0.991
2024-06-01 07:20:00,1717212000,Guba,41.01624,48.83208,16.82,36.0,4.72,34.5,342.0,1.64,1.83,0.251,462.0,25.1,3.81,2.88,6.51,0,-1.823
2024-06-01 07:25:00,1717212300,Gabala,41.00903,47.8193,26.16,55.3,3.57,218.5,362.4,0.57,1.73,0.461,496.4,27.5,1.59,2.18,0.36,0,-2.012
2024-06-01 07:30:00,1717212600,Guba,41.06046,48.92598,20.69,72.9,3.2,266.5,382.7,1.43,1.21,0.408,392.6,44.0,13.67,2.73,16.36,0,-2.104
2024-06-01 07:35:00,1717212900,Guba,40.99879,48.89579,22.55,61.8,7.43,70.6,402.7,0.46,1.49,0.151,496.2,5.1,13.5,9.21,0.88,0,-0.75
2024-06-01 07:40:00,1717213200,Gabala,41.06195,47.85938,24.14,57.0,1.43,91.2,422.6,1.57,1.63,0.054,350.0,22.5,14.77,0.5,0.34,0,-1.013
2024-06-01 07:45:00,1717213500,Gabala,41.0254,47.80918,27.08,41.8,0.78,23.8,442.3,3.06,2.03,0.243,424.9,86.9,15.07,26.49,1.5,1,1.292
2024-06-01 07:50:00,1717213800,Gabala,40.94463,47.8561,28.28,43.5,8.34,68.0,461.7,2.03,2.03,0.362,461.9,217.9,16.58,5.42,2.43,1,0.905
2024-06-01 07:55:00,1717214100,Gabala,41.09049,47.85593,25.07,26.2,4.83,138.4,481.0,0.74,2.28,0.286,434.3,17.0,12.1,17.8,11.02,1,1.752
2024-06-01 08:00:00,1717214400,Gabala,40.99635,47.79098,22.89,5.0,2.59,241.0,500.0,2.53,2.64,0.284,439.7,6.3,12.29,22.98,13.6,1,2.53
2024-06-01 08:05:00,1717214700,Guba,40.95824,48.93213,25.28,48.1,4.42,182.7,518.8,0.84,1.85,0.511,391.2,65.3,23.68,6.17,11.97,1,2.319
2024-06-01 08:10:00,1717215000,Gabala,41.06265,47.765,26.01,25.6,3.24,67.0,537.3,0.58,2.32,0.097,454.9,58.0,12.52,14.01,1.11,1,1.404
2024-06-01 08:15:00,1717215300,Shamakhi,40.70389,48.60921,24.41,25.6,1.75,41.2,555.6,0.65,2.27,0.355,452.8,29.8,3.63,14.07,8.02,1,2.216
2024-06-01 08:20:00,1717215600,Lerik,38.79835,48.48828,26.43,42.6,1.97,178.3,573.6,2.06,1.99,0.221,394.0,47.5,3.1,25.09,0.96,0,0.328
2024-06-01 08:25:00,1717215900,Gabala,40.95482,47.88403,25.08,44.9,3.86,344.1,591.3,2.79,1.91,0.413,463.5,46.5,13.62,0.47,0.95,0,0.232
2024-06-01 08:30:00,1717216200,Gabala,40.97138,47.88371,26.92,37.0,3.77,113.4,608.8,8.85,2.12,0.468,470.8,5.1,10.68,8.0,6.22,0,-1.79
2024-06-01 08:35:00,1717216500,Guba,41.03574,48.85513,25.12,63.9,0.77,56.4,625.9,8.16,1.53,0.283,361.3,152.9,8.98,12.11,7.28,0,-5.754
2024-06-01 08:40:00,1717216800,Gabala,41.04389,47.93845,27.94,29.2,3.38,297.9,642.8,2.62,2.31,0.832,434.9,40.7,8.2,5.43,12.12,0,0.251
2024-06-01 08:45:00,1717217100,Gabala,41.00852,47.91884,28.58,42.7,3.93,103.2,659.3,0.15,2.05,0.267,417.2,6.5,9.18,1.64,13.84,1,3.692
2024-06-01 08:50:00,1717217400,Gabala,40.98509,47.80782,22.78,37.1,2.9,38.5,675.6,1.69,1.99,0.148,421.2,32.3,6.45,1.44,13.81,0,0.569
2024-06-01 08:55:00,1717217700,Guba,41.0749,48.87626,27.25,40.6,1.57,356.6,691.5,0.41,2.06,0.71,442.3,413.4,3.43,5.67,5.34,1,1.34
2024-06-01 09:00:00,1717218000,Gabala,40.96436,47.91273,26.62,38.8,5.62,76.9,707.1,0.86,2.07,0.29,427.8,89.5,7.85,6.8,5.96,1,1.403
2024-06-01 09:05:00,1717218300,Lerik,38.85155,48.48981,28.34,77.8,1.93,125.1,722.4,2.3,1.34,0.089,392.0,176.7,1.89,5.49,7.35,0,-2.342
2024-06-01 09:10:00,1717218600,Guba,40.9856,48.83677,29.26,57.6,3.57,69.6,737.3,0.77,1.77,0.269,364.6,20.3,4.32,6.41,1.85,0,-1.288
2024-06-01 09:15:00,1717218900,Lerik,38.82155,48.34981,29.29,48.2,1.69,342.5,751.8,4.62,1.97,0.086,360.3,23.5,9.03,1.27,14.61,0,-3.606
2024-06-01 09:20:00,1717219200,Guba,40.99432,48.89281,22.25,35.8,1.07,245.0,766.0,0.08,2.0,0.419,551.8,178.5,8.86,3.89,3.07,1,1.347
2024-06-01 09:25:00,1717219500,Gabala,40.97721,47.74145,33.15,28.3,6.91,265.9,779.9,1.05,2.48,0.311,466.5,16.5,11.37,7.44,5.37,1,2.63
2024-06-01 09:30:00,1717219800,Lerik,38.78113,48.40095,24.38,56.7,4.26,36.8,793.4,3.82,1.65,0.446,456.4,24.1,18.24,12.29,5.41,0,-3.493
2024-06-01 09:35:00,1717220100,Guba,41.06724,48.95929,28.76,22.3,2.62,242.0,806.4,7.82,2.47,0.271,381.1,119.5,5.86,2.33,2.0,0,-0.781
2024-06-01 09:40:00,1717220400,Shamakhi,40.56335,48.52807,34.7,28.8,1.15,187.4,819.2,1.21,2.52,0.251,430.5,8.5,13.23,11.28,0.99,1,4.136
2024-06-01 09:45:00,1717220700,Gabala,40.94299,47.85636,29.84,45.7,4.05,171.8,831.5,3.89,2.03,0.304,499.3,5.0,22.83,11.06,1.36,0,-0.8
2024-06-01 09:50:00,1717221000,Guba,41.10605,48.87091,21.65,34.1,5.5,182.9,843.4,1.32,2.02,0.03,454.6,129.6,0.5,1.11,31.7,0,-1.068
2024-06-01 09:55:00,1717221300,Shamakhi,40.64889,48.682,35.82,32.6,5.13,226.5,854.9,11.4,2.47,0.495,360.9,24.5,7.76,7.5,1.83,0,-5.758
2024-06-01 10:00:00,1717221600,Guba,40.88074,48.87151,27.41,49.0,3.33,30.0,866.0,4.28,1.89,0.078,387.5,16.0,15.08,4.85,1.4,0,-0.416
2024-06-01 10:05:00,1717221900,Shamakhi,40.57174,48.67595,26.11,5.6,1.67,211.5,876.7,1.54,2.72,0.651,392.3,32.0,14.58,9.74,8.47,1,3.429
2024-06-01 10:10:00,1717222200,Gabala,40.8894,47.82013,26.07,43.1,4.2,174.9,887.0,1.62,1.97,0.323,380.8,49.8,1.25,0.64,5.7,0,0.118
2024-06-01 10:15:00,1717222500,Lerik,38.75247,48.43856,19.15,48.1,1.37,132.9,896.9,7.96,1.66,0.158,436.5,84.2,10.94,2.85,1.68,0,-5.553
2024-06-01 10:20:00,1717222800,Shamakhi,40.44307,48.6126,26.3,59.7,5.55,198.7,906.3,1.71,1.64,0.485,376.9,22.6,21.69,3.95,9.1,0,0.085
2024-06-01 10:25:00,1717223100,Guba,40.99315,48.89309,29.41,48.0,5.45,130.8,915.3,4.36,1.97,0.306,485.2,68.9,15.66,14.55,0.75,0,-1.368
2024-06-01 10:30:00,1717223400,Gabala,40.9229,47.81047,22.08,26.2,2.38,50.0,923.9,1.28,2.19,0.184,489.0,14.1,12.95,8.05,1.16,1,1.172
2024-06-01 10:35:00,1717223700,Shamakhi,40.603,48.61615,26.72,5.0,4.49,23.6,932.0,0.88,2.75,0.351,419.2,5.0,15.6,0.75,3.55,1,3.87
2024-06-01 10:40:00,1717224000,Guba,40.91874,48.87797,33.91,44.3,1.04,44.1,939.7,7.13,2.18,0.61,376.9,164.8,9.96,3.95,1.18,0,-4.029
2024-06-01 10:45:00,1717224300,Guba,41.00415,48.86551,24.21,64.6,2.15,236.0,946.9,3.57,1.48,0.209,430.3,119.4,15.17,9.12,1.85,0,-2.579
2024-06-01 10:50:00,1717224600,Guba,40.97925,48.97364,28.63,35.9,3.04,269.3,953.7,1.51,2.19,0.353,350.0,151.7,2.11,9.65,26.2,1,1.507
2024-06-01 10:55:00,1717224900,Shamakhi,40.6751,48.62738,36.5,36.7,1.77,242.1,960.0,3.36,2.41,0.451,388.2,97.7,13.03,6.27,2.74,1,1.824
2024-06-01 11:00:00,1717225200,Shamakhi,40.67057,48.63218,35.1,43.1,7.57,2.8,965.9,0.13,2.24,0.282,403.4,5.0,14.53,32.2,4.28,1,2.97
2024-06-01 11:05:00,1717225500,Shamakhi,40.63927,48.58042,32.6,42.3,3.45,190.9,971.3,0.73,2.18,0.258,420.5,5.0,9.18,8.97,17.04,1,0.863
2024-06-01 11:10:00,1717225800,Lerik,38.78367,48.3907,23.85,54.9,1.07,4.7,976.3,1.19,1.67,0.044,382.9,62.2,5.42,17.44,11.22,0,-2.402
2024-06-01 11:15:00,1717226100,Shamakhi,40.69927,48.58757,34.15,22.1,8.57,23.2,980.8,3.21,2.63,0.478,427.0,127.0,9.7,4.06,8.9,1,1.28
2024-06-01 11:20:00,1717226400,Shamakhi,40.52235,48.61686,31.1,28.1,7.04,26.1,984.8,0.95,2.42,0.12,449.9,86.4,10.11,4.89,5.79,1,2.112
2024-06-01 11:25:00,1717226700,Shamakhi,40.52982,48.63209,34.78,16.0,8.52,38.1,988.4,0.95,2.77,0.417,415.3,34.7,11.2,4.92,1.17,1,4.827
2024-06-01 11:30:00,1717227000,Lerik,38.79581,48.39849,22.96,40.9,4.55,13.7,991.4,0.35,1.92,0.401,430.4,5.0,8.38,10.26,3.01,0,-0.44
2024-06-01 11:35:00,1717227300,Shamakhi,40.7127,48.56037,31.42,46.8,6.39,22.9,994.1,1.4,2.06,0.245,414.2,21.0,22.39,5.06,15.59,1,2.488
2024-06-01 11:40:00,1717227600,Guba,40.98988,48.93803,33.53,50.0,2.4,260.7,996.2,1.24,2.06,0.414,468.5,124.1,2.15,3.12,17.07,0,-0.444
2024-06-01 11:45:00,1717227900,Shamakhi,40.59084,48.60167,30.08,36.3,2.05,176.8,997.9,0.25,2.23,0.518,525.0,9.2,7.94,6.83,11.39,1,2.313
2024-06-01 11:50:00,1717228200,Guba,40.9279,48.82796,26.08,34.2,5.6,343.8,999.0,3.32,2.15,0.734,357.3,5.0,14.99,1.9,1.41,1,2.623
2024-06-01 11:55:00,1717228500,Guba,41.0473,48.79324,27.72,63.0,2.91,201.8,999.8,1.8,1.62,0.186,428.1,64.7,3.87,28.75,5.02,0,-0.437
2024-06-01 12:00:00,1717228800,Guba,41.04766,48.91489,27.98,41.5,0.69,349.1,1000.0,5.47,2.06,0.043,393.2,9.6,9.07,8.27,1.17,0,-1.677
2024-06-01 12:05:00,1717229100,Lerik,38.83945,48.35853,25.17,57.0,2.87,108.1,999.8,2.12,1.67,0.367,411.2,15.8,8.66,5.13,5.6,0,-0.543
2024-06-01 12:10:00,1717229400,Lerik,38.76854,48.42155,19.0,72.5,2.46,155.3,999.0,2.97,1.17,0.273,400.5,151.1,18.39,22.44,2.11,0,-1.84
2024-06-01 12:15:00,1717229700,Lerik,38.76466,48.36122,24.65,44.2,0.6,229.4,997.9,1.29,1.91,0.221,374.8,11.6,16.67,16.85,0.65,0,-0.235
2024-06-01 12:20:00,1717230000,Shamakhi,40.53534,48.60666,32.97,22.5,7.79,223.5,996.2,1.13,2.59,0.149,427.5,215.2,9.7,2.19,1.22,1,3.2
